Test ID,Refrigeration breakdown coverage required?,Any reefer trailers older than 10 years?,Reefer trailer serviced at least every 30 days?,Hauls seafood or shellfish?,Radius of operations (applies to Cargo and APD),Terminal coverage required?,Trailer Interchange (TI) coverage required?,TI Limit ($),Written TI agreement in place?,Cargo limit per unit ($),Average exposure per unit ($),Maximum exposure per unit ($),Loads ever exceed cargo insurance limit?,Cargo deductible,Physical Damage deductible (PhysDam only),T&S limit (PhysDam only),UW Deductible Override
TS-001,No,No,Yes,No,0-25 mi,Yes,No,$0,No,91000,15000,18000,No,$1000,"$1,000","$5,000",150
TS-002,Yes,No,Yes,No,26-50 mi,No,Yes,$75000,Yes,41000,15000,19000,No,$2500,$500,"$10,000",300
TS-003,No,No,No,No,51-75 mi,No,No,$0,No,96000,70500,73000,No,$1000,"$2,500","$10,000",75
TS-004,No,No,Yes,No,76-100 mi,Yes,Yes,$100000,Yes,14000,1000,3000,No,500,"$1,500","$5,000",500
TS-005,Yes,Yes,Yes,No,101-150 mi,No,Yes,$50000,Yes,39000,17000,36000,No,$2500,"$2,000","$5,000",200
TS-006,No,No,No,No,151-200 mi,No,No,$0,No,81000,26000,71500,No,$1000,"$1,000","$10,000",100
TS-007,Yes,No,Yes,Yes,201-300 mi,Yes,No,$0,No,38000,15000,33500,No,$2500,"$2,500","$10,000",650
TS-008,No,No,No,No,301-500 mi,No,Yes,$100000,Yes,10000,7000,10000,Yes,500,"$1,000","$10,000",125
TS-009,No,Yes,Yes,No,501-1000 mi,No,No,$0,No,99000,55000,76500,No,$1000,$500,"$5,000",400
TS-010,Yes,No,Yes,No,Over 1000 mi,Yes,Yes,$75000,Yes,29000,7500,18000,No,$2500,"$2,000","$5,000",50
TS-011,No,No,No,No,0-25 mi,No,No,$0,No,21000,13000,14500,No,$1000,"$1,500","$10,000",250
TS-012,Yes,Yes,Yes,Yes,26-50 mi,Yes,No,$0,No,54000,39500,43500,No,$2500,"$1,000","$10,000",525
TS-013,No,No,No,No,51-75 mi,No,Yes,$50000,Yes,68000,35000,42500,Yes,500,"$2,500","$5,000",180
TS-014,No,No,Yes,No,76-100 mi,No,No,$0,No,20000,9500,14000,No,$1000,$500,"$5,000",90
TS-015,Yes,No,Yes,No,101-150 mi,Yes,Yes,$100000,Yes,83000,25500,70500,No,$2500,"$1,500","$10,000",700
TS-016,No,No,No,No,151-200 mi,No,No,$0,No,15000,11500,13000,No,$1000,"$1,000","$5,000",300
TS-017,Yes,Yes,No,Yes,201-300 mi,Yes,No,$0,No,20000,14500,16000,No,500,"$2,000","$10,000",1000
TS-018,No,No,Yes,No,301-500 mi,No,Yes,$75000,Yes,58000,18500,47500,Yes,$2500,$500,"$5,000",60
TS-019,No,No,Yes,No,501-1000 mi,No,No,$0,No,30000,12500,23500,No,$1000,"$1,500","$10,000",220
TS-020,Yes,No,Yes,Yes,Over 1000 mi,Yes,Yes,$100000,Yes,95000,35000,79500,Yes,500,"$2,500","$10,000",480
TS-021,Yes,No,Yes,No,0-25 mi,Yes,No,$0,No,87000,22500,53500,No,$2500,"$1,000","$10,000",75
TS-022,No,No,Yes,No,26-50 mi,No,Yes,$50000,Yes,69000,25000,42000,No,500,$500,"$10,000",150
TS-023,Yes,Yes,No,Yes,51-75 mi,Yes,Yes,$75000,Yes,97000,42500,96000,Yes,500,"$2,500","$10,000",300
TS-024,No,No,Yes,No,76-100 mi,No,No,$0,No,39000,27000,27500,No,$2500,"$1,500","$10,000",45
TS-025,Yes,No,Yes,No,101-150 mi,Yes,No,$0,No,61000,18000,22000,No,$2500,$500,"$5,000",500
TS-026,No,No,Yes,No,151-200 mi,No,Yes,$100000,Yes,82000,41000,54500,No,$1000,"$2,000","$10,000",180
TS-027,Yes,No,Yes,Yes,201-300 mi,Yes,Yes,$75000,Yes,60000,42000,56500,Yes,500,"$1,000","$10,000",260
TS-028,No,Yes,No,No,301-500 mi,No,No,$0,No,43000,9500,25000,No,$2500,$500,"$5,000",60
TS-029,Yes,No,Yes,No,501-1000 mi,Yes,No,$0,No,84000,55500,84000,No,500,"$1,500","$10,000",220
