Test ID,#,Vehicle Coverage (Cargo/PhysDam/Both),Vehicle Year,Vehicle Make,Vehicle Type,VIN Known?,VIN Number,Vehicle Cost ($),Notes
TS-001,1,Both,2024,Ford,Car,Yes,1FTNE2CM3RKA10001,$38500,New unit added for local delivery operations; garaged at primary location.
TS-001,2,Both,2018,Kenworth,Pickup Truck,Yes,1XKAD49X8JJ80083,$38500,New unit added for local delivery operations; garaged at primary location.
TS-001,3,Both,2020,Chevrolet,Tractor,Yes,1GCWGAFP8LZ80084,$126000,Long-haul power unit with telematics and driver monitoring installed.
TS-001,4,Both,2017,Peterbilt,Box Truck,Yes,1XP5DB9X7HN80085,$74500,Unit scheduled for titling; VIN not yet available at time of quote.
TS-001,5,Both,2023,Ram,Flatbed Truck,Yes,3C7WRNER5PG80086,$68900,Used for regional freight runs; maintained under fleet service plan.
TS-001,6,Both,2015,Mack,Reefer Truck,No,,$126000,Long-haul power unit with telematics and driver monitoring installed.
TS-001,7,Both,2022,Hino,Tank Truck,Yes,JHMSH7BL1NX80088,$126000,Long-haul power unit with telematics and driver monitoring installed.
TS-001,8,Both,2016,Ford,Bulk Truck,Yes,1FTER4FH8GL80089,$74500,Unit scheduled for titling; VIN not yet available at time of quote.
TS-001,9,Both,2024,International,Dump Truck,Yes,1HTMMMML7RH80090,$68900,Used for regional freight runs; maintained under fleet service plan.
TS-001,10,Both,2013,GMC,Car,No,,$46800,Light-duty support vehicle used by dispatch and service staff.
TS-002,1,Both,2023,Freightliner,Pickup Truck,Yes,1FUJGLDR8PLB20002,$114200,Higher-value sleeper cab unit with backup camera and ELD integration.
TS-003,1,Both,2022,Volvo,Tractor,No,,$52300,VIN pending from dealer; vehicle is currently in service.
TS-004,1,Both,2021,International,Box Truck,Yes,1HTJHADR2MHC30003,$74500,Unit scheduled for titling; VIN not yet available at time of quote.
TS-005,1,Both,2024,Kenworth,Flatbed Truck,Yes,1XKAD49X4RJX40004,$68900,Used for regional freight runs; maintained under fleet service plan.
TS-006,1,Both,2020,Peterbilt,Reefer Truck,Yes,1XP5DB9X3LN500005,$46800,Light-duty support vehicle used by dispatch and service staff.
TS-007,1,Both,2023,Hino,Tank Truck,No,,$114200,Higher-value sleeper cab unit with backup camera and ELD integration.
TS-007,2,Both,2019,Chevrolet,Bulk Truck,No,,$52300,VIN pending from dealer; vehicle is currently in service.
TS-007,3,Both,2022,Hino,Dump Truck,Yes,JHMDM6AH6NN270027,$81250,Refrigerated body unit used for grocery distribution routes.
TS-007,4,Both,2023,Ford,Car,Yes,1FDUF5HT8PDA28028,$41200,Secondary delivery van assigned to overflow route coverage.
TS-007,5,Both,2021,Peterbilt,Pickup Truck,Yes,1NP5DB9X3MN290029,$68900,Used for regional freight runs; maintained under fleet service plan.
TS-007,6,Both,2024,Mercedes-Benz,Tractor,Yes,W1Y4NCHY3RT300030,$68900,Used for regional freight runs; maintained under fleet service plan.
TS-008,1,Both,2019,Mack,Box Truck,Yes,1M1AN4GY0KM600006,$46800,Light-duty support vehicle used by dispatch and service staff.
TS-009,1,Both,2024,Isuzu,Flatbed Truck,Yes,JALC4W16XR7A00007,$114200,Higher-value sleeper cab unit with backup camera and ELD integration.
TS-010,1,Both,2022,Chevrolet,Reefer Truck,Yes,1GB4KXCG3NF800008,$52300,VIN pending from dealer; vehicle is currently in service.
TS-011,1,Both,2021,Ford,Tank Truck,Yes,1FDUF4GT7MED900009,$81250,Refrigerated body unit used for grocery distribution routes.
